,Unnamed: 0,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Latitude,Longitude
2909,2909,10600000,1386,Mira Road East,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19.2948873,72.8678432
2910,2910,5600000,788,Mira Road East,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,19.2948873,72.8678432
2911,2911,10400000,1365,Mira Road East,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0,19.2948873,72.8678432
2912,2912,7700000,1046,Mira Road East,2,1,1,1,0,0,0,1,1,1,0,0,1,0,0,19.2948873,72.8678432
2913,2913,5300000,710,Mira Road East,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,19.2948873,72.8678432
2914,2914,7320000,999,Bhayandar East,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,19.28729595,72.8434378568812
2915,2915,5518000,677,Mira Road East,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,19.2948873,72.8678432
2916,2916,5500000,720,Mira Road East,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,19.2948873,72.8678432
2917,2917,8250000,1060,Mira Road East,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.2948873,72.8678432
2918,2918,7800000,1010,Mira Road East,2,0,0,1,1,0,0,1,0,1,1,0,1,0,0,19.2948873,72.8678432
2919,2919,6120000,720,Mira Road East,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,19.2948873,72.8678432
2920,2920,5650000,780,Mira Road East,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,19.2948873,72.8678432
2921,2921,6200000,730,Mira Road East,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,19.2948873,72.8678432
2922,2922,8500000,1048,Mira Road East,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,19.2948873,72.8678432
2923,2923,7650000,982,Mira Road East,2,1,0,1,0,0,0,1,1,1,0,0,1,0,1,19.2948873,72.8678432
2924,2924,5700000,770,Mira Road East,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,19.2948873,72.8678432
2925,2925,7650000,1020,Mira Road East,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,19.2948873,72.8678432
